region,province,city_municipality,submunicipality,barangay,region_psgc,province_psgc,city_municipality_psgc,submunicipality_psgc,barangay_psgc
National Capital Region (NCR),,City of Caloocan,,Barangay 1,1300000000,,1380100000,,1380100001
National Capital Region (NCR),,City of Caloocan,,Barangay 2,1300000000,,1380100000,,1380100002
National Capital Region (NCR),,City of Caloocan,,Barangay 3,1300000000,,1380100000,,1380100003
National Capital Region (NCR),,City of Caloocan,,Barangay 4,1300000000,,1380100000,,1380100004
National Capital Region (NCR),,City of Caloocan,,Barangay 5,1300000000,,1380100000,,1380100005
National Capital Region (NCR),,City of Caloocan,,Barangay 6,1300000000,,1380100000,,1380100006
National Capital Region (NCR),,City of Caloocan,,Barangay 7,1300000000,,1380100000,,1380100007
National Capital Region (NCR),,City of Caloocan,,Barangay 8,1300000000,,1380100000,,1380100008
National Capital Region (NCR),,City of Caloocan,,Barangay 9,1300000000,,1380100000,,1380100009
National Capital Region (NCR),,City of Caloocan,,Barangay 10,1300000000,,1380100000,,1380100010
National Capital Region (NCR),,City of Caloocan,,Barangay 11,1300000000,,1380100000,,1380100011
National Capital Region (NCR),,City of Caloocan,,Barangay 12,1300000000,,1380100000,,1380100012
National Capital Region (NCR),,City of Caloocan,,Barangay 13,1300000000,,1380100000,,1380100013
National Capital Region (NCR),,City of Caloocan,,Barangay 14,1300000000,,1380100000,,1380100014
National Capital Region (NCR),,City of Caloocan,,Barangay 15,1300000000,,1380100000,,1380100015
National Capital Region (NCR),,City of Caloocan,,Barangay 16,1300000000,,1380100000,,1380100016
National Capital Region (NCR),,City of Caloocan,,Barangay 17,1300000000,,1380100000,,1380100017
National Capital Region (NCR),,City of Caloocan,,Barangay 18,1300000000,,1380100000,,1380100018
National Capital Region (NCR),,City of Caloocan,,Barangay 19,1300000000,,1380100000,,1380100019
National Capital Region (NCR),,City of Caloocan,,Barangay 20,1300000000,,1380100000,,1380100020
National Capital Region (NCR),,City of Caloocan,,Barangay 21,1300000000,,1380100000,,1380100021
National Capital Region (NCR),,City of Caloocan,,Barangay 22,1300000000,,1380100000,,1380100022
National Capital Region (NCR),,City of Caloocan,,Barangay 23,1300000000,,1380100000,,1380100023
National Capital Region (NCR),,City of Caloocan,,Barangay 24,1300000000,,1380100000,,1380100024
National Capital Region (NCR),,City of Caloocan,,Barangay 25,1300000000,,1380100000,,1380100025
National Capital Region (NCR),,City of Caloocan,,Barangay 26,1300000000,,1380100000,,1380100026
National Capital Region (NCR),,City of Caloocan,,Barangay 27,1300000000,,1380100000,,1380100027
National Capital Region (NCR),,City of Caloocan,,Barangay 28,1300000000,,1380100000,,1380100028
National Capital Region (NCR),,City of Caloocan,,Barangay 29,1300000000,,1380100000,,1380100029
National Capital Region (NCR),,City of Caloocan,,Barangay 30,1300000000,,1380100000,,1380100030
National Capital Region (NCR),,City of Caloocan,,Barangay 31,1300000000,,1380100000,,1380100031
National Capital Region (NCR),,City of Caloocan,,Barangay 32,1300000000,,1380100000,,1380100032
National Capital Region (NCR),,City of Caloocan,,Barangay 33,1300000000,,1380100000,,1380100033
National Capital Region (NCR),,City of Caloocan,,Barangay 34,1300000000,,1380100000,,1380100034
National Capital Region (NCR),,City of Caloocan,,Barangay 35,1300000000,,1380100000,,1380100035
National Capital Region (NCR),,City of Caloocan,,Barangay 36,1300000000,,1380100000,,1380100036
National Capital Region (NCR),,City of Caloocan,,Barangay 37,1300000000,,1380100000,,1380100037
National Capital Region (NCR),,City of Caloocan,,Barangay 38,1300000000,,1380100000,,1380100038
