"id","psgcCode","citymunDesc","regDesc","provCode","citymunCode"
"1","1380100000","City of Caloocan","13","1375","137501"
"2","1380200000","City of Las Piñas","13","1376","137601"
"3","1380300000","City of Makati","13","1376","137602"
"4","1380400000","City of Malabon","13","1375","137502"
"5","1380500000","City of Mandaluyong","13","1374","137401"
"6","1380600000","City of Manila","13","1339","133900"
"7","1380601000","Tondo I/II","13","1339","133901"
"8","1380602000","Binondo","13","1339","133902"
"9","1380603000","Quiapo","13","1339","133903"
"10","1380604000","San Nicolas","13","1339","133904"
"11","1380605000","Santa Cruz","13","1339","133905"
"12","1380606000","Sampaloc","13","1339","133906"
"13","1380607000","San Miguel","13","1339","133907"
"14","1380608000","Ermita","13","1339","133908"
"15","1380609000","Intramuros","13","1339","133909"
"16","1380610000","Malate","13","1339","133910"
"17","1380611000","Paco","13","1339","133911"
"18","1380612000","Pandacan","13","1339","133912"
"19","1380613000","Port Area","13","1339","133913"
"20","1380614000","Santa Ana","13","1339","133914"
"21","1380700000","City of Marikina","13","1374","137402"
"22","1380800000","City of Muntinlupa","13","1376","137603"
"23","1380900000","City of Navotas","13","1375","137503"
"24","1381000000","City of Parañaque","13","1376","137604"
"25","1381100000","Pasay City","13","1376","137605"
"26","1381200000","City of Pasig","13","1374","137403"
"27","1381300000","Quezon City","13","1374","137404"
"28","1381400000","City of San Juan","13","1374","137405"
"29","1381500000","City of Taguig","13","1376","137607"
"30","1381600000","City of Valenzuela","13","1375","137504"
"31","1381701000","Pateros","13","1376","137606"
"32","1400101000","Bangued ","14","1401","140101"
"33","1400102000","Boliney","14","1401","140102"
"34","1400103000","Bucay","14","1401","140103"
"35","1400104000","Bucloc","14","1401","140104"
"36","1400105000","Daguioman","14","1401","140105"
"37","1400106000","Danglas","14","1401","140106"
"38","1400107000","Dolores","14","1401","140107"
"39","1400108000","La Paz","14","1401","140108"
"40","1400109000","Lacub","14","1401","140109"
"41","1400110000","Lagangilang","14","1401","140110"
"42","1400111000","Lagayan","14","1401","140111"
"43","1400112000","Langiden","14","1401","140112"
"44","1400113000","Licuan-Baay","14","1401","140113"
"45","1400114000","Luba","14","1401","140114"
"46","1400115000","Malibcong","14","1401","140115"
"47","1400116000","Manabo","14","1401","140116"
"48","1400117000","Peñarrubia","14","1401","140117"
"49","1400118000","Pidigan","14","1401","140118"
"50","1400119000","Pilar","14","1401","140119"
"51","1400120000","Sallapadan","14","1401","140120"
"52","1400121000","San Isidro","14","1401","140121"
"53","1400122000","San Juan","14","1401","140122"
"54","1400123000","San Quintin","14","1401","140123"
"55","1400124000","Tayum","14","1401","140124"
"56","1400125000","Tineg","14","1401","140125"
"57","1400126000","Tubo","14","1401","140126"
"58","1400127000","Villaviciosa","14","1401","140127"
"59","1401101000","Atok","14","1411","141101"
"60","1401103000","Bakun","14","1411","141103"
"61","1401104000","Bokod","14","1411","141104"
"62","1401105000","Buguias","14","1411","141105"
