"id","psgcCode","provDesc","regCode","provCode"
"1","1400100000","Abra","14","1401"
"2","1401100000","Benguet","14","1411"
"3","1402700000","Ifugao","14","1427"
"4","1403200000","Kalinga","14","1432"
"5","1404400000","Mountain Province","14","1444"
"6","1408100000","Apayao","14","1481"
"7","0102800000","Ilocos Norte","01","0128"
"8","0102900000","Ilocos Sur","01","0129"
"9","0103300000","La Union","01","0133"
"10","0105500000","Pangasinan","01","0155"
"11","0200900000","Batanes","02","0209"
"12","0201500000","Cagayan","02","0215"
"13","0203100000","Isabela","02","0231"
"14","0205000000","Nueva Vizcaya","02","0250"
"15","0205700000","Quirino","02","0257"
"16","0300800000","Bataan","03","0308"
"17","0301400000","Bulacan","03","0314"
"18","0304900000","Nueva Ecija","03","0349"
"19","0305400000","Pampanga","03","0354"
"20","0306900000","Tarlac","03","0369"
"21","0307100000","Zambales","03","0371"
"22","0307700000","Aurora","03","0377"
"23","0401000000","Batangas","04","0410"
"24","0402100000","Cavite","04","0421"
"25","0403400000","Laguna","04","0434"
"26","0405600000","Quezon","04","0456"
"27","0405800000","Rizal","04","0458"
"28","1704000000","Marinduque","17","1740"
"29","1705100000","Occidental Mindoro","17","1751"
"30","1705200000","Oriental Mindoro","17","1752"
"31","1705300000","Palawan","17","1753"
"32","1705900000","Romblon","17","1759"
"33","0500500000","Albay","05","0505"
"34","0501600000","Camarines Norte","05","0516"
"35","0501700000","Camarines Sur","05","0517"
"36","0502000000","Catanduanes","05","0520"
"37","0504100000","Masbate","05","0541"
"38","0506200000","Sorsogon","05","0562"
